id,Company,TypeName
0,Apple,Ultrabook
1,Apple,Ultrabook
2,HP,Notebook
3,Apple,Ultrabook
4,Apple,Ultrabook
5,Acer,Notebook
6,Apple,Ultrabook
7,Apple,Ultrabook
8,Asus,Ultrabook
9,Acer,Ultrabook
10,HP,Notebook
11,HP,Notebook
12,Apple,Ultrabook
13,Dell,Notebook
14,Apple,Ultrabook
15,Apple,Ultrabook
16,Dell,Notebook
17,Apple,Ultrabook
18,Lenovo,Notebook
19,Dell,Ultrabook
20,Asus,Netbook
21,Lenovo,Gaming
22,HP,Notebook
23,Dell,2 in 1 Convertible
24,HP,Ultrabook
25,Dell,Notebook
26,Apple,Ultrabook
27,Dell,Notebook
28,Dell,Ultrabook
29,HP,Notebook
30,Chuwi,Notebook
31,Asus,Notebook
32,HP,Notebook
33,Dell,Ultrabook
34,Apple,Ultrabook
35,Lenovo,Notebook
36,Acer,Notebook
37,Dell,Notebook
38,HP,Notebook
39,HP,Notebook
40,Asus,Notebook
41,Dell,Gaming
42,Asus,Notebook
43,Acer,Notebook
44,Dell,2 in 1 Convertible
45,Apple,Ultrabook
46,Lenovo,Notebook
47,Asus,Gaming
48,Dell,Notebook
49,Asus,Notebook
50,Lenovo,2 in 1 Convertible
51,Acer,Notebook
52,HP,Notebook
53,HP,Notebook
54,Acer,Notebook
55,Dell,Notebook
56,HP,Notebook
57,Asus,Notebook
58,MSI,Gaming
59,Asus,Notebook
60,Dell,Notebook
61,Dell,Ultrabook
62,Lenovo,Notebook
63,Asus,Notebook
64,HP,Notebook
65,Asus,Ultrabook
66,HP,Notebook
67,HP,Notebook
68,Lenovo,Notebook
69,Asus,Gaming
70,Microsoft,Ultrabook
71,Dell,Ultrabook
72,Dell,Notebook
73,MSI,Gaming
74,Acer,Notebook
75,Asus,Gaming
76,Lenovo,Notebook
77,Dell,Notebook
78,Acer,Notebook
79,HP,Notebook
80,Dell,Ultrabook
81,Apple,Ultrabook
82,HP,Notebook
83,Lenovo,Notebook
84,Acer,Notebook
85,Dell,Gaming
86,HP,Ultrabook
87,HP,Notebook
88,Asus,Gaming
89,Dell,Ultrabook
90,Asus,Gaming
91,Acer,Notebook
92,HP,Notebook
93,Dell,Gaming
94,Asus,Ultrabook
95,Acer,2 in 1 Convertible
96,Dell,Notebook
97,Dell,Notebook
98,Asus,Notebook
99,HP,Gaming
100,HP,Notebook
101,HP,Notebook
102,Dell,Notebook
103,HP,Ultrabook
104,Microsoft,Ultrabook
105,HP,Notebook
106,Lenovo,Notebook
107,Asus,Ultrabook
108,MSI,Gaming
109,Lenovo,Notebook
110,Asus,Ultrabook
111,Dell,Ultrabook
112,Lenovo,2 in 1 Convertible
113,HP,Notebook
114,Dell,Ultrabook
115,HP,2 in 1 Convertible
116,HP,Notebook
117,Dell,Notebook
118,Asus,Notebook
119,Asus,Notebook
120,Acer,Notebook
121,MSI,Gaming
122,Lenovo,Notebook
123,HP,Notebook
124,Acer,Notebook
125,HP,Notebook
126,HP,Notebook
127,Asus,Notebook
128,Dell,Notebook
129,HP,Notebook
130,Dell,Notebook
131,Dell,Notebook
132,Acer,Ultrabook
133,Acer,Notebook
134,HP,Notebook
135,HP,Notebook
136,Lenovo,Notebook
137,Asus,Gaming
138,Lenovo,Notebook
139,HP,Notebook
140,Acer,Notebook
141,Lenovo,Notebook
142,Lenovo,Gaming
143,Toshiba,Notebook
144,HP,Notebook
145,Asus,Ultrabook
146,HP,Ultrabook
147,Asus,Notebook
148,MSI,Gaming
149,Acer,Notebook
150,Dell,Gaming
151,Dell,Gaming
152,Lenovo,Notebook
153,MSI,Gaming
154,HP,Ultrabook
155,HP,Notebook
156,Lenovo,2 in 1 Convertible
157,Asus,2 in 1 Convertible
158,Dell,2 in 1 Convertible
159,Toshiba,Notebook
160,Asus,Notebook
161,Acer,Notebook
162,Dell,Notebook
163,Lenovo,Gaming
164,Acer,Notebook
165,MSI,Gaming
166,Acer,Notebook
167,Dell,Gaming
168,Acer,Notebook
169,HP,Notebook
170,Huawei,Ultrabook
171,HP,Notebook
172,Lenovo,Notebook
173,Toshiba,Notebook
174,HP,Notebook
175,Dell,Notebook
176,Acer,Notebook
177,MSI,Gaming
178,Lenovo,Notebook
179,HP,2 in 1 Convertible
180,Dell,Notebook
181,Dell,Ultrabook
182,Lenovo,2 in 1 Convertible
183,Toshiba,Notebook
184,Xiaomi,Notebook
185,Dell,Notebook
186,Dell,Notebook
187,Lenovo,Gaming
188,Acer,Ultrabook
189,Dell,Notebook
190,Lenovo,2 in 1 Convertible
191,Vero,Notebook
192,Xiaomi,Ultrabook
193,Lenovo,Notebook
194,Dell,2 in 1 Convertible
195,HP,Notebook
196,Razer,Gaming
197,HP,Notebook
198,HP,Gaming
199,HP,Notebook
200,Dell,Gaming
201,Lenovo,Notebook
202,Acer,Notebook
203,Lenovo,Gaming
204,Dell,Workstation
205,Lenovo,Gaming
206,Dell,Notebook
207,Dell,Ultrabook
208,Dell,Ultrabook
209,Lenovo,Notebook
210,Acer,Notebook
211,Asus,Gaming
212,HP,Notebook
213,Lenovo,Notebook
214,Huawei,Ultrabook
215,Dell,Ultrabook
216,Lenovo,Notebook
217,HP,Notebook
218,Dell,Ultrabook
219,Dell,2 in 1 Convertible
220,Dell,Notebook
221,Lenovo,2 in 1 Convertible
222,Toshiba,Ultrabook
223,HP,Notebook
224,Dell,Gaming
225,Acer,Notebook
226,Dell,Notebook
227,Asus,Notebook
228,Asus,Notebook
229,HP,Notebook
230,Asus,Notebook
231,HP,Notebook
232,Lenovo,Gaming
233,Dell,Notebook
234,Acer,2 in 1 Convertible
235,Dell,Notebook
236,Acer,Notebook
237,Asus,Notebook
238,Asus,Gaming
239,Acer,Gaming
240,Lenovo,Notebook
241,Asus,Notebook
242,Asus,Notebook
243,Dell,Gaming
244,Lenovo,2 in 1 Convertible
245,Dell,Notebook
246,HP,Notebook
247,Asus,Gaming
248,HP,Notebook
249,Apple,Ultrabook
250,Dell,2 in 1 Convertible
251,Asus,Gaming
252,Asus,Notebook
253,Lenovo,2 in 1 Convertible
254,Acer,Notebook
255,Dell,Ultrabook
256,HP,Notebook
257,HP,Notebook
258,MSI,Gaming
259,Lenovo,2 in 1 Convertible
260,Dell,Notebook
261,Lenovo,Notebook
262,HP,Notebook
263,Dell,Notebook
264,Dell,Notebook
265,Dell,2 in 1 Convertible
266,Asus,2 in 1 Convertible
267,Lenovo,Notebook
268,HP,Notebook
269,Lenovo,Notebook
270,Apple,Ultrabook
271,Asus,Gaming
272,Dell,Notebook
273,Lenovo,2 in 1 Convertible
274,Toshiba,Notebook
275,Dell,Notebook
276,Dell,Notebook
277,Acer,Notebook
278,Lenovo,Notebook
279,Lenovo,Notebook
280,Lenovo,Notebook
281,Dell,Notebook
282,Lenovo,Gaming
283,Lenovo,Notebook
284,Acer,Notebook
285,Acer,Notebook
286,Lenovo,Notebook
287,Asus,Ultrabook
288,Lenovo,Gaming
289,Lenovo,Notebook
290,Acer,Notebook
291,Asus,Gaming
292,HP,Notebook
293,Dell,Notebook
294,Lenovo,Notebook
295,Lenovo,Gaming
296,Acer,Notebook
297,Dell,Workstation
298,Lenovo,Notebook
299,Asus,Ultrabook
300,Asus,Notebook
301,Asus,Gaming
302,Lenovo,Notebook
303,Lenovo,Notebook
304,Asus,Gaming
305,Lenovo,Notebook
306,HP,2 in 1 Convertible
307,Toshiba,Notebook
308,Lenovo,Notebook
309,HP,Notebook
310,Lenovo,Notebook
311,Dell,Ultrabook
312,MSI,Gaming
313,Acer,Notebook
314,Asus,2 in 1 Convertible
315,Dell,Notebook
316,HP,2 in 1 Convertible
317,Lenovo,Notebook
318,HP,Notebook
319,Acer,Notebook
320,HP,Notebook
321,Lenovo,Notebook
322,Asus,Notebook
323,HP,Notebook
324,Acer,Notebook
325,Lenovo,Notebook
326,Acer,Notebook
327,Asus,Ultrabook
328,HP,Ultrabook
329,Dell,Notebook
330,MSI,Gaming
331,Toshiba,Notebook
332,Asus,Notebook
333,Lenovo,Notebook
334,Asus,Gaming
335,HP,Notebook
336,Dell,Ultrabook
337,HP,Notebook
338,Asus,Notebook
339,Dell,Notebook
340,Dell,Notebook
341,Lenovo,Notebook
342,HP,Notebook
343,Lenovo,2 in 1 Convertible
344,Dell,Ultrabook
345,Lenovo,Gaming
346,HP,Notebook
347,Dell,Ultrabook
348,Asus,2 in 1 Convertible
349,Dell,Ultrabook
350,Dell,Notebook
351,HP,Notebook
352,MSI,Gaming
353,HP,Workstation
354,Toshiba,Notebook
355,Dell,Notebook
356,Lenovo,Notebook
357,Dell,Gaming
358,Dell,Notebook
359,Dell,Notebook
360,HP,Notebook
361,Asus,Notebook
362,Lenovo,Notebook
363,HP,Notebook
364,Lenovo,Notebook
365,HP,Notebook
366,Dell,Notebook
367,Lenovo,Gaming
368,Dell,Notebook
369,HP,Ultrabook
370,Asus,2 in 1 Convertible
371,Acer,Notebook
372,Asus,Gaming
373,Lenovo,Notebook
374,Dell,2 in 1 Convertible
375,HP,Notebook
376,Lenovo,Netbook
377,Dell,Notebook
378,Asus,Notebook
379,Acer,Notebook
380,HP,Gaming
381,Lenovo,Notebook
382,Asus,Gaming
383,Lenovo,Notebook
384,Asus,Ultrabook
385,Lenovo,Ultrabook
386,Lenovo,Notebook
387,Dell,Workstation
388,Dell,Workstation
389,Lenovo,2 in 1 Convertible
390,Asus,Gaming
391,Asus,Gaming
392,Acer,Notebook
393,MSI,Gaming
394,Dell,Notebook
395,HP,Ultrabook
396,Lenovo,Notebook
397,Lenovo,Notebook
398,Dell,Workstation
399,Lenovo,Ultrabook
400,Lenovo,Notebook
401,Asus,Gaming
402,Lenovo,Notebook
403,Acer,Notebook
404,MSI,Gaming
405,Asus,Ultrabook
406,Toshiba,Ultrabook
407,Dell,Ultrabook
408,Lenovo,Notebook
409,Lenovo,Notebook
410,Lenovo,Workstation
411,Lenovo,Ultrabook
412,HP,Notebook
413,Acer,2 in 1 Convertible
414,Asus,2 in 1 Convertible
415,Dell,Notebook
416,Dell,Notebook
417,HP,Ultrabook
418,Dell,Notebook
419,Lenovo,Ultrabook
420,Lenovo,2 in 1 Convertible
421,Chuwi,Notebook
422,HP,Notebook
423,Asus,Notebook
424,Dell,Gaming
425,Dell,Gaming
426,Dell,Notebook
427,Dell,Ultrabook
428,HP,Gaming
429,Mediacom,2 in 1 Convertible
430,Samsung,Netbook
431,Lenovo,Notebook
432,Lenovo,Notebook
433,Lenovo,Workstation
434,Lenovo,Notebook
435,Asus,Gaming
436,HP,Notebook
437,Google,Ultrabook
438,Lenovo,Ultrabook
439,Asus,Notebook
440,Lenovo,Notebook
441,Dell,Notebook
442,Lenovo,Ultrabook
443,Lenovo,Notebook
444,HP,Gaming
445,Dell,Notebook
446,Acer,Notebook
447,Dell,Workstation
448,MSI,Gaming
449,Microsoft,Ultrabook
450,HP,Notebook
451,Dell,Workstation
452,HP,Workstation
453,Lenovo,Notebook
454,Dell,Notebook
455,Dell,2 in 1 Convertible
456,Dell,Notebook
457,Microsoft,Ultrabook
458,Microsoft,Ultrabook
459,HP,Notebook
460,Acer,Notebook
461,Acer,Netbook
462,Asus,Notebook
463,Lenovo,Notebook
464,Lenovo,Notebook
465,Asus,Notebook
466,Acer,Notebook
467,Dell,Notebook
468,HP,Gaming
469,Lenovo,Ultrabook
470,HP,2 in 1 Convertible
471,HP,Notebook
